date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:43:47	13520/13520	---M--	200	added ('OK')	image/webp	etag:%2260069cd9-34d0%22	https://www.purecinema.tv/wp-content/uploads/2020/11/Screen-Shot-2020-12-02-at-11.38.30-AM-1366x0-c-default.webp	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/wp-content/uploads/2020/11/Screen-Shot-2020-12-02-at-11.38.30-AM-1366x0-c-default.webp	(from https://www.purecinema.tv/evolution-of-the-dj/)
17:43:49	55642/55642	---M--	200	added ('OK')	image/webp	etag:%2260069cda-d95a%22	https://www.purecinema.tv/wp-content/uploads/2020/11/Screen-Shot-2020-12-02-at-11.35.31-AM-1366x0-c-default.webp	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/wp-content/uploads/2020/11/Screen-Shot-2020-12-02-at-11.35.31-AM-1366x0-c-default.webp	(from https://www.purecinema.tv/evolution-of-the-dj/)
17:43:49	804755/804755	---M--	200	added ('OK')	image/jpeg	etag:%2260068b6c-c4793%22	https://www.purecinema.tv/wp-content/uploads/2020/11/Evolution-of-the-DJ.jpg	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/wp-content/uploads/2020/11/Evolution-of-the-DJ.jpg	(from https://www.purecinema.tv/evolution-of-the-dj/)
17:43:49	35268/35268	---M--	200	added ('OK')	image/webp	etag:%2260069cdb-89c4%22	https://www.purecinema.tv/wp-content/uploads/2020/11/Screen-Shot-2020-12-02-at-11.37.47-AM-1366x0-c-default.webp	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/wp-content/uploads/2020/11/Screen-Shot-2020-12-02-at-11.37.47-AM-1366x0-c-default.webp	(from https://www.purecinema.tv/evolution-of-the-dj/)
17:43:50	25908/25908	---M--	200	added ('OK')	image/webp	etag:%2260069cdc-6534%22	https://www.purecinema.tv/wp-content/uploads/2020/11/Screen-Shot-2020-12-02-at-11.37.28-AM-1366x0-c-default.webp	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/wp-content/uploads/2020/11/Screen-Shot-2020-12-02-at-11.37.28-AM-1366x0-c-default.webp	(from https://www.purecinema.tv/evolution-of-the-dj/)
17:43:51	21284/21284	---M--	200	added ('OK')	image/webp	etag:%2260069cdd-5324%22	https://www.purecinema.tv/wp-content/uploads/2020/11/Screen-Shot-2020-12-02-at-11.37.13-AM-1366x0-c-default.webp	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/wp-content/uploads/2020/11/Screen-Shot-2020-12-02-at-11.37.13-AM-1366x0-c-default.webp	(from https://www.purecinema.tv/evolution-of-the-dj/)
17:43:52	73608/73608	---M--	200	added ('OK')	image/webp	etag:%2260e78970-11f88%22	https://www.purecinema.tv/wp-content/uploads/2021/07/Decked-Step-Up-Your-Game-1920x0-c-default.webp	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/wp-content/uploads/2021/07/Decked-Step-Up-Your-Game-1920x0-c-default.webp	(from https://www.purecinema.tv/evolution-of-the-dj/)
17:43:55	108536/108536	---M--	200	added ('OK')	image/webp	etag:%226006fbea-1a7f8%22	https://www.purecinema.tv/wp-content/uploads/2020/11/Planck-1920x0-c-default.webp	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/wp-content/uploads/2020/11/Planck-1920x0-c-default.webp	(from https://www.purecinema.tv/stepupyourgame/)
17:43:55	702111/702111	---M--	200	added ('OK')	image/png	etag:%2260e78944-ab69f%22	https://www.purecinema.tv/wp-content/uploads/2021/07/Decked-Step-Up-Your-Game-1024x576.png	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/wp-content/uploads/2021/07/Decked-Step-Up-Your-Game-1024x576.png	(from https://www.purecinema.tv/stepupyourgame/)
17:43:57	164634/164634	---M--	200	added ('OK')	image/webp	etag:%226006e891-2831a%22	https://www.purecinema.tv/wp-content/uploads/2020/11/Made-to-Keep-1920x0-c-default.webp	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/wp-content/uploads/2020/11/Made-to-Keep-1920x0-c-default.webp	(from https://www.purecinema.tv/planck-aerosystems/)
